Название конфет,Цена конфет
Набор конфет «Вітання із...,"275,00 грн"
Конфеты шоколадные «Вишня...,"876,00 грн"
Набор конфет «Чорнослив в...,Нет цены
Конфеты шоколадные «Milk...,"207,00 грн"
Набор конфет «Вишня...,"118,00 грн"
Набор конфет «Вишня...,Нет цены
Набор конфет «Sweets»...,Нет цены
Набор конфет в коробке...,Нет цены
Набор конфет «Чорнослив в...,Нет цены
Набор конфет в тубусе...,Нет цены
Набор конфет «З України з...,"362,00 грн"
Набор конфет «Пташине...,"143,00 грн"
Набор конфет «Вітання із...,"245,00 грн"
Набор конфет в подарочном...,"182,00 грн"
Набор конфет «Стріла»...,"123,00 грн"
